type,b_mean,b_std,g_mean,g_std,r_mean,r_std
Birthday Cake Remix(TM),226.71796959826275,18.79574745153365,241.01085776330075,9.416839366304307,248.89006514657981,7.110850168242284
Birthday Cake Remix(TM),220.40264462809918,14.58066363907635,238.60495867768594,8.34040386831502,250.57360094451005,4.274583973090005
Birthday Cake Remix(TM),223.4031097510545,14.239225426224694,241.74245306426266,6.511030313434464,252.5906872880655,2.309364870712702
Birthday Cake Remix(TM),223.2874884532485,8.633586868455954,241.36077183619008,4.24340129876323,252.43959765985835,1.8510756010823461
Birthday Cake Remix(TM),219.84244453746336,9.765494308059658,239.1727919631645,4.991892609843989,250.48781917120135,4.607748925707828
Birthday Cake Remix(TM),220.57237735849057,11.570662609206577,239.4812830188679,6.923004354849043,251.70309433962265,2.8439140333061905
Birthday Cake Remix(TM),224.17264469933036,11.403360303662211,241.04349267387124,5.522380188057802,251.47888351123783,2.26632912933908
Blueberry,190.0181673938913,20.47293438706432,147.3583498611662,32.25885772804203,114.59809599365332,40.160131629457425
Blueberry,186.79586349534642,20.642390282647977,147.45925542916237,33.192605558591836,117.87352637021716,42.46417106788989
Blueberry,181.04568245125347,19.496421413495067,144.77214484679666,32.72936043792176,116.83621169916435,40.927491058791276
Blueberry,200.96024305555557,34.49610962279066,165.07916666666668,56.72271722427933,138.32899305555554,72.9514554607869
Blueberry,187.0933302808303,21.75025587731145,146.19276556776558,33.01602299309862,111.80318986568986,42.43365811313712
Blueberry,188.1225661672497,20.185218183327503,138.74496732888917,33.646703017818815,112.23774008316283,38.333089596982965
Blueberry,182.1859389454209,20.832169900163517,145.96373728029602,30.840327325565138,116.58778908418131,38.58731486473052
Blueberry,178.5910661401777,20.112304366198977,142.96347482724582,30.25982660538824,107.18558736426456,40.307647240158246
Blueberry,180.31101857783472,20.767519798737222,139.73166239590006,31.403954274348887,108.03779628443306,39.52417395374578
Blueberry,196.32953140030233,30.483168329794303,153.75594338326232,51.13888398195083,128.8819568503504,61.64374500904757
Blueberry,187.91517787789343,22.10461619987304,146.2983532701569,33.52283650632283,111.79291595463725,43.19520446200542
